,idx,mode,file,# Gadgets,CX depth,# CX,Rz depth,depth,# Rz,time,notes,matroid,root_heuristic,split_heuristic,arch_density,architecture
0,0,steiner,circuits/phasepoly/16qubits/100gadgets/Original6.qasm,100,516,1700,83,532,100,0 days 00:00:00.216510000,,arianne,,count,0.15,rigetti_16q_aspen
0,1,steiner,circuits/phasepoly/16qubits/100gadgets/Original16.qasm,100,536,1586,87,572,100,0 days 00:00:00.214276000,,arianne,,count,0.15,rigetti_16q_aspen
0,2,steiner,circuits/phasepoly/16qubits/100gadgets/Original17.qasm,100,531,1594,86,552,100,0 days 00:00:00.203245000,,arianne,,count,0.15,rigetti_16q_aspen
0,3,steiner,circuits/phasepoly/16qubits/100gadgets/Original7.qasm,100,551,1634,85,584,100,0 days 00:00:00.215488000,,arianne,,count,0.15,rigetti_16q_aspen
0,4,steiner,circuits/phasepoly/16qubits/100gadgets/Original10.qasm,100,489,1707,94,510,100,0 days 00:00:00.209542000,,arianne,,count,0.15,rigetti_16q_aspen
0,5,steiner,circuits/phasepoly/16qubits/100gadgets/Original0.qasm,100,570,1622,87,601,100,0 days 00:00:00.199355000,,arianne,,count,0.15,rigetti_16q_aspen
0,6,steiner,circuits/phasepoly/16qubits/100gadgets/Original1.qasm,100,500,1447,95,531,100,0 days 00:00:00.193227000,,arianne,,count,0.15,rigetti_16q_aspen
0,7,steiner,circuits/phasepoly/16qubits/100gadgets/Original11.qasm,100,530,1554,96,570,100,0 days 00:00:00.196390000,,arianne,,count,0.15,rigetti_16q_aspen
0,8,steiner,circuits/phasepoly/16qubits/100gadgets/Original12.qasm,100,521,1615,94,547,100,0 days 00:00:00.210744000,,arianne,,count,0.15,rigetti_16q_aspen
0,9,steiner,circuits/phasepoly/16qubits/100gadgets/Original2.qasm,100,530,1531,92,545,100,0 days 00:00:00.205458000,,arianne,,count,0.15,rigetti_16q_aspen
0,10,steiner,circuits/phasepoly/16qubits/100gadgets/Original3.qasm,100,463,1749,93,477,100,0 days 00:00:00.188611000,,arianne,,count,0.15,rigetti_16q_aspen
0,11,steiner,circuits/phasepoly/16qubits/100gadgets/Original13.qasm,100,580,1631,85,607,100,0 days 00:00:00.210527000,,arianne,,count,0.15,rigetti_16q_aspen
0,12,steiner,circuits/phasepoly/16qubits/100gadgets/Original18.qasm,100,488,1675,84,495,100,0 days 00:00:00.191294000,,arianne,,count,0.15,rigetti_16q_aspen
0,13,steiner,circuits/phasepoly/16qubits/100gadgets/Original4.qasm,100,561,1639,89,594,100,0 days 00:00:00.251022000,,arianne,,count,0.15,rigetti_16q_aspen
0,14,steiner,circuits/phasepoly/16qubits/100gadgets/Original14.qasm,100,571,1521,83,609,100,0 days 00:00:00.186335000,,arianne,,count,0.15,rigetti_16q_aspen
0,15,steiner,circuits/phasepoly/16qubits/100gadgets/Original8.qasm,100,451,1539,95,463,100,0 days 00:00:00.225930000,,arianne,,count,0.15,rigetti_16q_aspen
0,16,steiner,circuits/phasepoly/16qubits/100gadgets/Original9.qasm,100,515,1547,95,537,100,0 days 00:00:00.304338000,,arianne,,count,0.15,rigetti_16q_aspen
0,17,steiner,circuits/phasepoly/16qubits/100gadgets/Original15.qasm,100,484,1707,93,506,100,0 days 00:00:00.268460000,,arianne,,count,0.15,rigetti_16q_aspen
0,18,steiner,circuits/phasepoly/16qubits/100gadgets/Original5.qasm,100,526,1569,99,565,100,0 days 00:00:00.291849000,,arianne,,count,0.15,rigetti_16q_aspen
0,19,steiner,circuits/phasepoly/16qubits/100gadgets/Original19.qasm,100,528,1671,72,547,100,0 days 00:00:00.239210000,,arianne,,count,0.15,rigetti_16q_aspen
0,20,steiner,circuits/phasepoly/16qubits/1gadgets/Original6.qasm,1,16,22,1,17,1,0 days 00:00:00.052156000,,arianne,,count,0.15,rigetti_16q_aspen
0,21,steiner,circuits/phasepoly/16qubits/1gadgets/Original16.qasm,1,28,42,1,29,1,0 days 00:00:00.253005000,,arianne,,count,0.15,rigetti_16q_aspen
0,22,steiner,circuits/phasepoly/16qubits/1gadgets/Original17.qasm,1,28,30,1,29,1,0 days 00:00:00.083002000,,arianne,,count,0.15,rigetti_16q_aspen
0,23,steiner,circuits/phasepoly/16qubits/1gadgets/Original7.qasm,1,42,44,1,43,1,0 days 00:00:00.068167000,,arianne,,count,0.15,rigetti_16q_aspen
0,24,steiner,circuits/phasepoly/16qubits/1gadgets/Original10.qasm,1,12,16,1,13,1,0 days 00:00:00.075582000,,arianne,,count,0.15,rigetti_16q_aspen
0,25,steiner,circuits/phasepoly/16qubits/1gadgets/Original0.qasm,1,24,26,1,25,1,0 days 00:00:00.113543000,,arianne,,count,0.15,rigetti_16q_aspen
